function_name,param_names,param_types,is_optional,return_type,documentation_length
tf.foldl,"['fn', 'elems', 'initializer', 'parallel_iterations', 'back_prop', 'swap_memory', 'name']","['None', 'tensor', 'tensor', 'iterations', 'deprecated', 'gpucpu', 'tensor']","[False, False, True, True, True, True, True]",tensor,618
tf.one_hot,"['indices', 'depth', 'on_value', 'off_value', 'axis', 'dtype', 'name']","['tensor', 'depth', 'default', 'default', 'axis', 'tensor', 'name']","[False, False, False, False, False, False, True]",tensor,1018
tf.dynamic_stitch,"['indices', 'data', 'name']","['tensor', 'indices', 'name']","[False, False, True]",tensor,798
tf.tuple,"['tensors', 'control_inputs', 'name']","['tensor', 'list', 'name_scope']","[False, False, True]",tensor,555
tf.fill,"['dims', 'value', 'name', 'layout']","['int32', 'tf.tensor', 'name', 'tensor']","[False, False, True, True]",dims,370
tf.irfftnd,"['input', 'fft_length', 'axes', 'Treal', 'name']","['tensor', 'tensor', 'tensor', 'defaults', 'name']","[False, False, False, True, True]",tensor,336
tf.inside_function,[],[],[],bool,98
tf.make_ndarray,['tensor'],['tensorproto'],[False],tensor,191
tf.range,"['start', 'limit', 'delta', 'dtype', 'name']","['tensor', 'tensor', 'tensor', 'tensor', 'defaults']","[False, False, False, False, False]",tensor,379
tf.parallel_stack,"['values', 'name']","['tensor', 'name']","[False, True]",output,404
tf.squeeze,"['input', 'axis', 'name']","['tensor', 'ints', 'name']","[False, True, True]",tensor,670
tf.sequence_mask,"['lengths', 'maxlen', 'dtype', 'name']","['tensor', 'tensor', 'tensor', 'name']","[False, False, False, False]",tensor,361
tf.searchsorted,"['sorted_sequence', 'values', 'side', 'out_type', 'name']","['tensor', 'tensor', 'left', 'int32', 'name']","[False, False, False, False, True]",tensor,718
tf.sets.difference,"['a', 'b', 'aminusb', 'validate_indices']","['tensor', 'tensor', 'b', 'a']","[False, False, False, False]",sparsetensor,771
tf.sets.intersection,"['a', 'b', 'validate_indices']","['tensor', 'tensor', 'a']","[False, False, False]",sparsetensor,676
tf.sets.union,"['a', 'b', 'validate_indices']","['tensor', 'tensor', 'a']","[False, False, False]",sparsetensor,792
tf.sets.size,"['a', 'validate_indices']","['sparsetensor', 'a']","[False, False]",int32,224
tf.Variable.SaveSliceInfo,"['full_name', 'full_shape', 'var_offset', 'var_shape', 'save_slice_info_def', 'import_scope']","['variable', 'int', 'variable', 'variable', 'savesliceinfodef', 'string']","[False, False, False, False, False, True]",savesliceinfodef,318
tf.image.random_saturation,"['image', 'lower', 'upper', 'seed']","['dimension', 'float', 'float', 'conjunction']","[False, False, False, False]",image,388
tf.image.convert_image_dtype,"['image', 'dtype', 'saturate', 'name']","['image', 'dtype', 'true', 'name']","[False, False, False, True]",image,1153
tf.image.crop_to_bounding_box,"['image', 'offset_height', 'offset_width', 'target_height', 'target_width']","['tensor', 'image', 'image', 'tensor', 'tensor']","[False, False, False, False, False]",image,501
tf.image.non_max_suppression_padded,"['boxes', 'scores', 'max_output_size', 'iou_threshold', 'score_threshold', 'pad_to_max_output_size', 'name', 'sorted_input', 'canonicalized_coordinates', 'tile_size']","['tensor', 'tensor', 'tensor', 'float', 'float', 'batch', 'name', 'boxes', 'box', 'boxes']","[False, False, False, False, False, False, False, False, False, False]",tensor,683
tf.image.central_crop,"['image', 'central_fraction']","['float', 'float']","[False, False]",float,586
tf.image.generate_bounding_box_proposals,"['scores', 'bbox_deltas', 'image_info', 'anchors', 'nms_threshold', 'pre_nms_topn', 'min_size', 'post_nms_topn', 'name']","['tensor', 'tensor', 'tensor', 'tensor', 'tensor', 'tensor', 'tensor', 'int', 'name']","[False, False, False, False, False, False, False, False, True]",rois,380
tf.image.hsv_to_rgb,"['images', 'name']","['tensor', 'name']","[False, True]",tensor,206
tf.image.random_jpeg_quality,"['image', 'min_jpeg_quality', 'max_jpeg_quality', 'seed']","['dimension', 'jpeg', 'jpeg', 'conjunction']","[False, False, False, False]",image,370
tf.image.psnr,"['a', 'b', 'max_val', 'name']","['images', 'images', 'difference', 'computation']","[False, False, False, False]",tensor,339
tf.image.extract_patches,"['images', 'sizes', 'strides', 'rates', 'padding', 'name']","['batch', 'must', 'centers', 'rates', 'algorithm', 'name']","[False, False, False, False, False, True]",input,1073
tf.image.crop_and_resize,"['image', 'boxes', 'box_indices', 'crop_size', 'method', 'extrapolation_value', 'name']","['tensor', 'tensor', 'tensor', 'tensor', 'or', 'float', 'name']","[False, False, False, False, True, True, True]",tensor,1052
tf.image.random_brightness,"['image', 'max_delta', 'seed']","['image', 'float', 'behavior']","[False, False, False]",image,321
tf.image.stateless_random_flip_left_right,"['image', 'seed']","['batch', 'int32']","[False, False]",tensor,256
tf.image.rgb_to_yiq,['images'],['data'],[False],tensor,178
tf.image.per_image_standardization,['image'],['tensor'],[False],tensor,284
tf.image.sobel_edges,['image'],['tensor'],[False],tensor,426
tf.image.stateless_random_saturation,"['image', 'lower', 'upper', 'seed']","['dimension', 'float', 'float', 'int32']","[False, False, False, False]",image,333
tf.image.adjust_hue,"['image', 'delta', 'name']","['dimension', 'float', 'name']","[False, False, True]",image,461
tf.image.stateless_random_jpeg_quality,"['image', 'min_jpeg_quality', 'max_jpeg_quality', 'seed']","['dimension', 'jpeg', 'jpeg', 'int32']","[False, False, False, False]",image,307
tf.image.random_contrast,"['image', 'lower', 'upper', 'seed']","['tensor', 'float', 'float', 'behavior']","[False, False, False, False]",image,358
tf.image.rgb_to_yuv,['images'],['data'],[False],tensor,185
tf.image.combined_non_max_suppression,"['boxes', 'scores', 'max_output_size_per_class', 'max_total_size', 'iou_threshold', 'score_threshold', 'pad_per_class', 'clip_boxes', 'name']","['tensor', 'tensor', 'tensor', 'boxes', 'float', 'float', 'max_total_size', 'box', 'name']","[False, False, False, False, False, False, False, False, True]",tensor,703
tf.image.stateless_random_hue,"['image', 'max_delta', 'seed']","['dimension', 'float', 'int32']","[False, False, False]",image,306
tf.image.stateless_random_contrast,"['image', 'lower', 'upper', 'seed']","['tensor', 'float', 'float', 'int32']","[False, False, False, False]",image,297
tf.image.random_flip_left_right,"['image', 'seed']","['batch', 'behavior']","[False, False]",tensor,493
tf.image.resize_with_pad,"['image', 'target_height', 'target_width', 'method', 'antialias']","['batch', 'height', 'target', 'image', 'resizing']","[False, False, False, False, False]",images,266
tf.image.stateless_random_flip_up_down,"['image', 'seed']","['batch', 'int32']","[False, False]",tensor,254
